,ID,Salary,Designation,JobCity,Gender,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,Domain,JobPeriod,DOByear,12GradAge,GradAge,Designation_Position,Personality Trait Score
36,602377,270000,Engineer,Hyderabad,Female,91.5,State Board,2009,93.8,State Board,1,B.Tech/B.E.,CS,74.1,11509,1,Telangana,2013,0.525922584252055,10,1992,17,21,Software Engineer,-0.031779999999999975
37,922508,80000,Others,Gurgaon,Male,77.0,CBSE,2010,85.4,CBSE,2,B.Tech/B.E.,EC,63.9,272,0,Punjab,2014,0.649389714846691,5,1993,17,21,Documentation Specialist,-0.24508000000000005
38,550371,330000,Engineer,Bangalore,Male,52.33,State Board,2007,67.0,State Board,2,MCA,CS,77.15,44,0,Uttar Pradesh,2013,0.735795709224656,9,1991,16,22,Associate Software Engineer,0.69286
39,533417,200000,Trainee,Bangalore,Male,88.0,State Board,2008,89.66,State Board,2,B.Tech/B.E.,EC,76.4,867,0,Kerala,2012,0.124502074009537,0,1991,17,21,Management Trainee,-0.14676000000000006
40,245887,120000,Manager,Jhansi,Male,66.6,CBSE,2007,68.6,State Board,2,B.Tech/B.E.,ME,60.22,105,0,Uttar Pradesh,2011,0.130441735719574,1,1989,18,22,Site Manager,0.054279999999999995
41,955678,145000,Developer,Delhi,Male,75.0,CBSE,2009,60.0,CBSE,2,B.Tech/B.E.,CS,66.0,105,0,Uttar Pradesh,2014,0.356536487724475,0,1992,17,22,Software Developer,-1.14938
42,895673,350000,Engineer,Bangalore,Male,91.4,ICSE,2010,73.0,CBSE,1,B.Tech/B.E.,IT,71.0,119,0,Uttar Pradesh,2014,0.23780283983757,9,1991,19,23,Associate Software Engineer,-0.5546599999999999
43,1207660,120000,Developer,Hyderabad ,Male,59.0,State Board,2010,87.7,State Board,2,B.Tech/B.E.,EC,71.04,16150,1,Telangana,2014,0.112139438207403,1,1993,17,21,.Net Developer,-1.16112
44,247617,380000,Analyst,Bangalore ,Female,84.5,CBSE,2007,82.5,CBSE,2,B.Tech/B.E.,CS,92.1,3461,0,Karnataka,2011,0.377551419424541,3,1989,18,22,Programmer Analyst,0.20324
45,1230582,110000,Engineer,Chennai,Male,95.8,State Board,2010,87.16,State Board,2,B.Tech/B.E.,ME,79.0,482,0,Tamil Nadu,2014,0.0669607065028304,1,1992,18,22,Production Engineer,-0.6830999999999999
46,592833,205000,Engineer,noida,Female,85.6,CBSE,2008,82.0,CBSE,2,B.Tech/B.E.,CS,74.01,13094,0,Haryana,2012,0.0800552813405495,2,1991,17,21,Jr. Software Engineer,0.24261999999999997
47,434621,95000,Developer,delhi,Male,69.6,State Board,2008,71.4,State Board,2,B.Tech/B.E.,CS,77.0,3054,0,Orissa,2012,0.925645767094482,1,1992,16,20,Software Developer,0.27077999999999997
48,338428,390000,Engineer,Bangalore,Male,86.6,CBSE,2009,75.0,CBSE,2,B.Tech/B.E.,CS,74.0,11637,0,Madhya Pradesh,2013,0.356536487724475,10,1991,18,22,Software Engineer,-0.263814
49,305559,270000,Analyst,Bangalore,Male,81.92,State Board,2007,61.46,State Board,2,B.Tech/B.E.,IT,57.54,1109,1,Karnataka,2011,0.843123726665742,2,1989,18,22,Quality Assurance Analyst,0.74222
50,245337,60000,Trainee,Bhubaneswar,Female,66.5,CBSE,2005,49.5,State Board,2,MCA,CS,89.7,889,0,Orissa,2011,0.916869961103619,2,1988,17,23,Trainee Software Developer,-0.3773400000000001
51,852310,120000,Developer,Hyderabad,Male,80.0,State Board,2009,72.5,State Board,2,B.Tech/B.E.,EC,57.8,12867,0,Andhra Pradesh,2013,0.783303536670298,8,1991,18,22,Ui Developer,-0.59688
52,794209,400000,Engineer,Navi Mumbai,Male,85.2,ICSE,2010,81.5,ICSE,2,B.Tech/B.E.,CS,57.64,8350,0,Uttar Pradesh,2014,0.600057182338341,8,1992,18,22,Software Engineer,0.7080599999999999
53,1082717,350000,Engineer,Mumbai,Male,89.25,State Board,2010,78.0,State Board,2,B.Tech/B.E.,EC,80.0,2066,1,West Bengal,2014,0.79293627759454,9,1991,19,23,Assistant System Engineer,-0.78978
54,764522,120000,Developer,New Delhi,Female,58.4,CBSE,2008,64.8,CBSE,2,MCA,CS,80.0,85,0,Haryana,2014,0.793580614548506,9,1992,16,22,Android Developer,-0.17343999999999998
55,989860,250000,Engineer,Mangalore,Male,90.8,State Board,2010,90.1,State Board,2,B.Tech/B.E.,CS,67.7,12832,0,Karnataka,2014,0.486747008438193,9,1992,18,22,Software Engineer,0.15885999999999995
56,416752,240000,Others,Rewari,Female,78.0,CBSE,2006,70.1,CBSE,2,B.Tech/B.E.,EC,68.2,166,0,Haryana,2011,0.694479327708463,10,1989,17,22,Customer Service,-0.22186
57,294700,525000,Engineer,Hyderabad,Female,89.88,CBSE,2007,95.4,CBSE,2,B.Tech/B.E.,EC,80.8,1027,1,Telangana,2011,0.694479327708463,11,1989,18,22,Test Engineer,-0.22716000000000003
58,1063642,200000,Engineer,Gaziabaad,Male,63.3,State Board,2008,61.1,State Board,2,B.Tech/B.E.,EC,66.9,11386,0,Uttar Pradesh,2013,0.112139438207403,1,1990,18,23,Project Engineer,-0.65798
59,536053,120000,Engineer,Bangalore,Male,72.0,CBSE,1995,49.0,State Board,2,B.Tech/B.E.,CS,55.0,712,0,Karnataka,2011,0.525922584252055,4,1977,18,34,Software Engineer,-0.49114
60,652717,305000,Engineer,Chennai,Female,83.0,State Board,2009,79.0,State Board,2,B.Tech/B.E.,IT,70.0,9173,1,Telangana,2013,0.165633091512476,10,1991,18,22,Software Engineer,0.26604
61,940402,300000,Developer,Chennai,Male,85.3,State Board,2010,88.3,State Board,2,B.Tech/B.E.,CS,85.0,434,1,Tamil Nadu,2014,0.356536487724475,1,1993,17,21,Java Developer,0.95702
62,1218578,145000,Engineer,Noida,Female,81.0,CBSE,2009,77.8,CBSE,2,B.Tech/B.E.,EC,65.35,11942,0,Uttar Pradesh,2014,0.207392169717661,9,1991,18,23,Engineer,-0.7419600000000001
63,636871,150000,Trainee,Bhiwadi,Male,60.66,State Board,2008,62.4,State Board,2,B.Tech/B.E.,ME,69.3,9738,0,Uttar Pradesh,2013,0.755375120895548,1,1992,16,21,Management Trainee,-2.52002
64,31330,600000,Engineer,Gurgaon,Male,78.0,CBSE,2004,83.0,CBSE,1,B.Tech/B.E.,IT,72.13,2,1,Delhi,2010,0.999904558268382,2,1986,18,24,Java Software Engineer,0.5009399999999999
65,1044453,310000,Engineer,Mysore,Male,89.37,State Board,2009,79.0,State Board,2,B.Tech/B.E.,EC,70.0,2085,0,West Bengal,2013,0.338786347219528,0,1990,19,23,System Engineer,0.4058400000000001
66,125529,455000,Engineer,Bangalore,Male,90.0,State Board,2006,94.4,State Board,2,B.Tech/B.E.,EC,76.12,1396,0,Andhra Pradesh,2010,0.124502074009537,2,1989,17,21,System Engineer,-0.33087999999999995
67,810433,400000,Engineer,Bangalore,Female,81.0,ICSE,2010,79.0,ICSE,2,B.Tech/B.E.,EC,71.5,64,0,Uttar Pradesh,2014,0.493596387301038,1,1991,19,23,Test Engineer,-1.8054999999999999
68,86373,150000,Others,Chennai,Female,78.0,State Board,2006,86.67,State Board,2,B.Tech/B.E.,I&C,77.55,4173,1,Tamil Nadu,2010,0.910770164246022,2,1989,17,21,Recruitment Coordinator,0.08004000000000024
69,1237891,250000,Developer,Mangalore,Male,84.4,CBSE,2011,73.2,CBSE,2,B.Tech/B.E.,CS,70.0,272,0,Punjab,2015,0.670743151433127,8,1993,18,22,Software Developer,-0.030880000000000008
70,801755,320000,Engineer,Chennai,Male,89.0,State Board,2009,92.0,State Board,2,B.Tech/B.E.,EC,76.4,14382,1,Telangana,2013,0.982057124317279,9,1992,17,21,System Engineer,-0.9447199999999999
71,1089599,250000,Engineer,Rajkot,Male,86.0,State Board,2008,64.0,State Board,2,B.Tech/B.E.,IT,61.17,9564,0,Gujarat,2013,0.911395278391328,9,1990,18,23,Java Software Engineer,0.9467199999999998
72,1230478,200000,Engineer,Bangalore,Male,85.0,ICSE,2010,75.0,CBSE,2,B.Tech/B.E.,CS,60.0,319,1,Karnataka,2014,0.842248322257836,1,1992,18,22,Technical Support Engineer,0.23817999999999992
73,982400,240000,Developer,Greater Noida,Male,75.0,CBSE,2009,64.0,CBSE,2,B.Tech/B.E.,CS,67.0,184,0,Uttar Pradesh,2014,0.622642915849938,1,1992,17,22,Android Developer,0.3125
74,1225896,120000,Analyst,Indore,Female,86.0,State Board,2009,77.0,State Board,2,B.Tech/B.E.,CS,75.0,4973,0,Madhya Pradesh,2013,0.0185409416754305,0,1991,18,22,Data Analyst,0.052539999999999996
75,1067148,300000,Analyst,Bangalore,Male,70.6,CBSE,2010,78.67,State Board,2,B.Tech/B.E.,EC,75.84,182,1,Karnataka,2014,0.0531603052826837,9,1992,18,22,Programmer Analyst,-0.41007999999999994
76,361583,800000,Engineer,Bangalore,Male,93.44,State Board,2008,90.0,State Board,2,B.Tech/B.E.,CS,87.6,1384,0,Karnataka,2012,0.942116551485008,11,1991,17,21,Software Engineer,0.07348
77,754392,120000,Engineer,Bangalore,Male,76.0,State Board,2009,72.0,State Board,2,B.Tech/B.E.,CS,63.2,8888,0,Tamil Nadu,2013,0.123016731640823,9,1992,17,21,Test Engineer,-0.03598000000000001
78,1168608,325000,Engineer,Mysore,Female,86.4,CBSE,2010,78.2,CBSE,2,B.Tech/B.E.,EC,73.5,6982,1,Karnataka,2014,0.207392169717661,1,1993,17,21,System Engineer,0.7969200000000001
79,1089852,100000,Developer,Bangalore,Female,86.0,State Board,2009,95.0,State Board,2,B.Tech/B.E.,EC,78.6,4726,0,Telangana,2013,0.649389714846691,1,1992,17,21,Software Developer,0.059940000000000014
80,1098869,300000,Engineer,Bangalore,Male,84.83,CBSE,2010,82.4,CBSE,2,B.Tech/B.E.,CS,74.14,903,0,Uttar Pradesh,2014,0.744758354008939,9,1992,18,22,Assistant Software Engineer,-0.3409
81,661546,280000,Others,New Delhi,Male,72.3,ICSE,2008,60.2,CBSE,2,B.Tech/B.E.,EC,69.38,8546,1,Rajasthan,2013,0.694479327708463,1,1990,18,23,Faculty,0.40658000000000005
82,87067,215000,Trainee,New Delhi,Female,69.0,CBSE,2005,62.6,CBSE,2,B.Tech/B.E.,EC,76.25,5605,0,Madhya Pradesh,2010,0.694479327708463,1,1987,18,23,Entry Level Management Trainee,0.10310000000000001
83,836060,145000,Others,Jaipur,Male,80.0,State Board,2010,70.0,State Board,2,B.Tech/B.E.,EC,55.0,9699,1,Rajasthan,2014,0.622642915849938,0,1993,17,21,Customer Service Representative,0.5155000000000001
84,58674,445000,Engineer,Pune,Female,73.33,CBSE,2004,71.33,CBSE,2,MCA,CS,61.0,331,1,Maharashtra,2010,0.600057182338341,12,1987,17,23,Software Test Engineer,-0.7285599999999999
85,1255801,315000,Engineer,noida ,Male,86.16,CBSE,2011,70.08,CBSE,2,B.Tech/B.E.,EC,63.13,7376,0,Uttar Pradesh,2015,0.207392169717661,8,1993,18,22,Firmware Engineer,0.40306
86,662008,100000,Developer,Kolkata,Female,75.0,State Board,2010,78.0,Technical,2,B.Tech/B.E.,CS,71.1,12992,1,West Bengal,2013,0.488347976782714,2,1987,23,26,Php Developer,0.71242
87,1245234,200000,Developer,Noida,Male,56.0,CBSE,2009,56.0,State Board,2,MCA,CS,62.0,51,0,Uttar Pradesh,2015,0.843123726665742,0,1992,17,23,Software Developer,0.25144
88,1259641,220000,Associate,Hyderabad,Female,87.0,CBSE,2008,60.0,CBSE,2,B.Tech/B.E.,CS,70.82,973,0,Uttar Pradesh,2013,0.842248322257836,9,1992,16,21,Research Associate,0.88734
89,525290,370000,Engineer,Kolkata,Male,79.25,State Board,2008,80.0,State Board,2,B.Tech/B.E.,IT,79.9,6814,0,West Bengal,2012,0.635978756456794,10,1991,17,21,Project Engineer,0.10522000000000005
90,324269,145000,Analyst,Pune,Male,88.66,State Board,2008,84.33,State Board,2,B.Tech/B.E.,EC,60.0,7236,1,Maharashtra,2012,0.376059586651545,10,1991,17,21,Research Analyst,0.8147799999999998
91,1151485,275000,Engineer,Bangalore,Male,80.8,State Board,2009,75.0,State Board,2,B.Tech/B.E.,EC,77.38,6836,1,Karnataka,2013,0.622642915849938,1,1991,18,22,Quality Engineer,-0.29784
92,1250429,1500000,Developer,Hyderabad,Male,79.0,State Board,2009,87.9,State Board,2,B.Tech/B.E.,CS,66.0,9557,1,Telangana,2013,0.356536487724475,0,1992,17,21,Application Developer,0.42842
93,1274522,325000,Engineer,Gurgaon,Male,70.0,ICSE,2010,65.0,CBSE,2,B.Tech/B.E.,IT,66.0,1139,0,Chhattisgarh,2014,0.622642915849938,1,1992,18,22,Software Engineer,-0.4200799999999999
94,843467,275000,Others,Bangalore,Male,81.16,ICSE,2008,68.5,ICSE,2,B.Tech/B.E.,EC,61.5,1087,0,Orissa,2013,0.338786347219528,0,1990,18,23,Programmer,0.39522
95,318391,425000,Engineer,HYDERABAD,Female,83.5,State Board,2008,94.2,State Board,2,B.Tech/B.E.,IT,88.2,5071,0,Andhra Pradesh,2012,0.670743151433127,11,1990,18,22,System Engineer,0.6869859999999998
96,60260,450000,Engineer,Bangalore,Male,65.0,ICSE,2006,66.0,State Board,2,B.Tech/B.E.,IT,64.0,501,0,Uttar Pradesh,2010,0.600057182338341,3,1988,18,22,Software Engineer,-0.22868000000000005
97,1026621,300000,Developer,Bangalore,Female,88.0,State Board,2010,88.0,State Board,2,B.Tech/B.E.,CS,70.12,9282,0,Andhra Pradesh,2014,0.744758354008939,9,1992,18,22,Software Developer,0.7736000000000002
98,112994,470000,Others,Jaipur,Male,79.0,CBSE,2006,76.6,CBSE,2,B.Tech/B.E.,IT,77.85,996,1,Rajasthan,2010,0.670743151433127,12,1988,18,22,Senior Systems Engineer,-0.08506
99,1123186,120000,Executive,Bangalore,Male,55.6,State Board,2005,50.8,State Board,2,MCA,CS,80.03,12992,1,West Bengal,2014,0.23780283983757,9,1988,17,26,Technical Support Executive,0.85064
100,1085716,300000,Analyst,Bangalore,Male,75.0,State Board,2008,72.0,State Board,2,B.Tech/B.E.,IT,80.0,7738,0,Uttar Pradesh,2013,0.911395278391328,0,1992,16,21,Business Analyst,0.27393999999999996
101,43693,205000,Engineer,Chennai,Male,84.6,CBSE,2006,66.5,CBSE,2,B.Tech/B.E.,EC,66.7,417,1,Tamil Nadu,2010,0.0587928000083534,12,1989,17,21,Electrical Engineer,-0.14767999999999998
102,836781,310000,Engineer,Pune,Male,79.0,State Board,2008,76.4,State Board,2,B.Tech/B.E.,EC,65.0,11583,0,Maharashtra,2012,0.622642915849938,10,1989,19,23,Software Engineer,0.48206
103,682615,300000,Analyst,Bangalore,Female,62.0,CBSE,2012,61.0,CBSE,2,B.Tech/B.E.,CS,70.0,2637,0,Haryana,2013,0.10487135986097,9,1991,21,22,Quality Assurance Analyst,0.56832
104,773975,460000,Engineer,Bangalore,Male,62.0,State Board,2007,61.0,State Board,2,M.Tech./M.E.,CS,63.0,272,0,Punjab,2013,0.793580614548506,10,1990,17,23,Technical Support Engineer,-1.26256
105,1190941,320000,Engineer,Bangalore,Male,86.0,State Board,2010,92.0,State Board,2,B.Tech/B.E.,EC,72.0,1947,0,Andhra Pradesh,2014,0.493596387301038,8,1993,17,21,Assistant System Engineer,-0.12486
106,957046,340000,Developer,Navi Mumbai,Female,85.8,CBSE,2010,65.8,CBSE,2,B.Tech/B.E.,IT,69.7,7627,0,Uttar Pradesh,2014,0.622642915849938,1,1993,17,21,Application Developer,0.42946
107,1074693,120000,Developer,Noida,Male,68.4,State Board,2008,61.0,State Board,2,B.Tech/B.E.,CS,62.2,982,1,Rajasthan,2013,0.23780283983757,1,1992,16,21,Android Developer,-0.9030400000000001
108,30122,100000,Developer,Noida,Male,51.0,State Board,2004,48.0,State Board,2,MCA,CS,59.0,350,0,Uttar Pradesh,2010,0.525922584252055,1,1985,19,25,Web Developer,0.3318
109,985092,510000,Engineer,Noida,Male,79.6,CBSE,2009,73.2,CBSE,2,B.Tech/B.E.,EC,66.96,4948,1,Rajasthan,2014,0.338786347219528,9,1991,18,23,Application Engineer,-0.041120000000000025
110,1059903,300000,Engineer,Indore,Male,63.4,State Board,2008,63.0,State Board,2,B.Tech/B.E.,EC,69.3,6595,0,Madhya Pradesh,2012,0.600643959446608,11,1989,19,23,Production Engineer,-0.9956999999999999
111,246607,480000,Others,mysore,Male,86.53,State Board,2007,71.55,State Board,2,B.Tech/B.E.,CS,78.5,6570,0,Orissa,2011,0.704090412131314,4,1989,18,22,Senior Systems Engineer,0.22886
112,295383,170000,Others,Bangalore,Female,76.18,State Board,2007,86.33,State Board,2,B.Tech/B.E.,CS,73.46,1034,0,Tamil Nadu,2011,0.635978756456794,1,1989,18,22,Project Coordinator,0.9040199999999998
113,1087220,340000,Engineer,Hyderabad,Male,91.43,ICSE,2009,74.0,CBSE,2,B.Tech/B.E.,CS,70.0,5666,1,Telangana,2016,0.144789889482462,8,1991,18,25,Software Engineer,-0.07533999999999999
114,50876,640000,Analyst,Bangalore,Male,78.0,CBSE,2004,71.3,CBSE,2,B.Tech/B.E.,IT,67.0,5400,0,Madhya Pradesh,2009,0.916869961103619,13,1987,17,22,Programmer Analyst,0.005620000000000003
115,815219,330000,Engineer,Chennai,Male,76.17,State Board,2009,72.0,CBSE,2,B.Tech/B.E.,CS,78.0,10991,0,Rajasthan,2013,0.819416529835888,2,1992,17,21,Software Engineer,-0.4499000000000001
116,794194,225000,Engineer,THANE,Male,82.4,CBSE,2010,72.0,CBSE,2,B.Tech/B.E.,EC,64.06,8350,0,Uttar Pradesh,2014,0.338786347219528,1,1990,20,24,System Engineer,0.5134
117,261236,180000,Developer,Noida,Male,58.0,State Board,2004,57.6,State Board,2,B.Tech/B.E.,CS,61.9,6874,0,Uttarakhand,2011,0.165633091512476,0,1985,19,26,Software Developer,0.2651
118,354011,440000,Developer,Bangalore,Female,79.0,CBSE,2007,83.4,CBSE,2,B.Tech/B.E.,EC,72.7,8286,0,Jammu and Kashmir,2012,0.376059586651545,3,1990,17,22,Application Developer,0.33827999999999997
119,407824,305000,Engineer,Bangalore,Female,90.04,CBSE,2008,75.16,CBSE,2,B.Tech/B.E.,EC,77.0,3801,0,Karnataka,2012,0.538386892985096,1,1990,18,22,Software Engineer,-0.2303
120,483864,500000,Engineer,Gurgaon,Female,76.0,CBSE,2008,76.6,CBSE,2,B.Tech/B.E.,CS,77.58,12104,0,Haryana,2012,0.864685413370085,11,1991,17,21,Software Engineer,-0.36334
121,302031,270000,Engineer,Mysore,Male,60.4,CBSE,2006,60.0,CBSE,2,B.Tech/B.E.,EC,62.0,75,0,Uttar Pradesh,2010,0.655766942617211,0,1988,18,22,Network Engineer,0.21516000000000002
122,823180,300000,Engineer,Noida,Male,74.23,State Board,2010,77.77,State Board,2,B.Tech/B.E.,CS,75.6,272,0,Punjab,2014,0.819416529835888,9,1993,17,21,Java Software Engineer,0.49799999999999994
123,312164,1200000,Engineer,Maharajganj,Male,59.8,ICSE,2006,60.25,State Board,2,B.Tech/B.E.,ME,68.63,5690,0,Uttar Pradesh,2010,0.0210662282612675,1,1988,18,22,Engineer Trainee,0.45931999999999995
124,614524,315000,Analyst,Bangalore,Female,82.3,CBSE,2010,89.6,State Board,2,B.Tech/B.E.,EC,67.95,272,0,Punjab,2014,0.444617716881577,9,1991,19,23,Programmer Analyst,0.46006
